KRAS/NRAS/HRAS	KRAS,NRAS,HRAS
RAS	KRAS,NRAS,HRAS
NTRK1-3	NTRK1,NTRK2,NTRK3
NTRK 1/2/3	NTRK1,NTRK2,NTRK3
BRCA1/2	BRCA1,BRCA2
